LEAGUE,TEAM_1_NAME,SCORE_TEAM_1,SCORE_TEAM_2,TEAM_2_NAME,TOTAL_CORNER_TEAM_1,TOTAL_CORNER_TEAM_2,TOTAL_ATTACKS_TEAM_1,TOTAL_ATTACKS_TEAM_2,TOTAL_SHOTS_TEAM_1,TOTAL_SHOTS_TEAM_2,HALFTIME_CORNER_TEAM_1,HALFTIME_CORNER_TEAM_2,HALFTIME_ATTACKS_TEAM_1,HALFTIME_ATTACKS_TEAM_2,HALFTIME_SHOTS_TEAM_1,HALFTIME_SHOTS_TEAM_2,TOTAL_SCORE
Iceland 4 Deild,Midas,1,1,Reynir Hellissandur,4,1,38,31,9,7,2,0,21,22,4,6,2
Iceland 4 Deild,Keflavik,2,1,Berserkir,4,4,23,32,4,12,3,4,14,27,2,11,3
Iceland Premier League Women,Selfoss Women,1,1,Valur Reykjavik Women,1,4,25,46,4,8,0,2,13,33,1,3,2
Iceland Premier League Women,Throttur Reykjavik Women,1,1,Breidablik Women,1,1,22,37,7,18,1,0,13,27,4,13,2
CONCACAF Gold Cup Qualifying,Trinidad & Tobago,1,1,French Guiana,2,2,29,22,5,4,2,2,29,22,5,4,2
Iceland 4 Deild,Midas,1,1,Reynir Hellissandur,4,4,49,46,10,8,2,0,21,22,4,6,2
Iceland Premier League Women,Selfoss Women,1,2,Valur Reykjavik Women,1,6,30,57,6,12,0,2,13,33,1,3,3
Iceland Premier League Women,Throttur Reykjavik Women,2,3,Breidablik Women,2,3,29,51,10,22,1,0,13,27,4,13,5
CONCACAF Gold Cup Qualifying,Trinidad & Tobago,1,1,French Guiana,2,4,41,30,6,6,2,2,29,22,5,4,2
CONCACAF Gold Cup Qualifying,Trinidad & Tobago,1,1,French Guiana,2,6,44,39,7,9,2,2,29,22,5,4,2
Brazil Serie A,Santos,2,1,Athletico Paranaense,7,3,49,20,16,6,5,3,38,13,13,6,3
USA NPSL,FC Frederick,1,0,Philadelphia Lone Star FC,1,6,27,50,7,7,1,5,26,41,7,5,1
USA WPSL Women,Cleveland Ambassadors Women,3,0,Pittsburgh Hotspur Women FC,2,1,33,17,9,2,2,1,33,17,9,2,3
CONCACAF Gold Cup Qualifying,Haiti,3,0,Bermuda,1,0,34,24,10,1,1,0,34,24,10,1,3
USA USL League Two,Charlotte Eagles,1,0,East Atlanta FC,1,1,21,11,3,1,1,1,0,0,0,0,1
USA USL League Two,FC Malaga City NY,0,1,AC Connecticut,0,1,28,10,1,3,0,1,0,0,0,0,1
Kazakhstan Division 2,Jenis FK,2,0,FK Aksu-Pavlodar,5,3,43,37,4,2,2,3,16,22,2,0,2
Kazakhstan Division 2,FK Atyrau Reserves,2,2,Turan Turkistan Reserves,6,3,53,41,10,7,3,2,23,16,5,3,4
Norway Division 2 Group 1,Alta,2,2,Vålerenga 2,19,1,71,19,30,3,9,1,27,12,10,1,4
AFC Champions League,Ratchaburi FC,0,0,Johor Darul Takzim,5,4,47,71,8,10,3,0,25,23,3,3,0
AFC Champions League,Gamba Osaka,8,1,Tampines Rovers FC,7,2,88,34,29,10,5,2,48,12,12,5,9
Cameroon Elite One,Stade Renard de Melong,1,0,Fovu de Baham,5,6,58,53,7,3,5,3,42,23,6,1,1
Cameroon Elite One,UMS de Loum,1,2,Panthere Sportive Du Nde,2,3,66,53,6,5,1,1,19,15,1,3,3
Turkey Amateur League,Firat Universitesi GSK,0,1,Igdir Es Spor,3,4,47,45,6,5,2,1,24,19,2,2,1
Sudan League,Khartoum Al Watani,0,2,Al Hilal Omdurman,2,2,29,30,4,4,2,2,15,19,3,3,2
Europe Friendlies,FC Viktoria 1889 Berlin,2,2,Hansa Rostock,1,1,33,38,6,10,0,0,23,25,4,6,4
Norway Division 2 Group 1,Fløya,1,3,Asker,2,6,17,32,3,9,0,2,12,19,0,7,4
Europe Friendlies,Lech Poznan,1,0,Midtjylland,1,3,29,55,3,6,1,3,29,55,3,6,1
Europe Friendlies,Levski Sofia,2,0,Lokomotiv 1929 Sofia,1,2,31,35,7,2,1,2,31,35,7,2,2
